paper,edition
Preface.,"Third Workshop-School on Theoretical Computer Science, WEIT 2015, Porto Alegre, Brazil, October 14-16, 2015"
Hybrid and Subexponential Linear Logics.,"11th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2016, Porto, Portugal, January 1, 2016"
The Chromatic Index of Proper Circular-arc Graphs of Odd Maximum Degree which are Chordal.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Preface.,"XXXIX Latin American Computer Conference - Selected Papers, CLEI 2013 Selected Papers, Vargas, Venezuela, October 7-11, 2018"
On SI,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Effectuses from Monads.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
Formalized Meta-Theory of Sequent Calculi for Substructural Logics.,"11th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2016, Porto, Portugal, January 1, 2016"
"Borel Kernels and their Approximation, Categorically.","Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Quantitative Logics for Equivalence of Effectful Programs.,"Proceedings of the Thirty-Fifth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2019, London, UK, June 4-7, 2019"
"Algebras, Graphs and Thetas.","Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
False,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017"
Preface.,"Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999"
Approximations for Restrictions of The Budgeted and Generalized Maximum Coverage Problems.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.,"6th International Workshop on Expressiveness in Concurrency, EXPRESS 1999, Eindhoven, The Netherlands, August 23, 1999"
Intuitionistic Hypothetical Logic of Proofs.,"Proceedings of the 6th Workshop on Intuitionistic Modal Logic and Applications, IMLA 2013, in association with UNILOG 2013, Rio de Janeiro, Brazil, April 7, 2013"
Minimization of Gini Impurity: NP-completeness and Approximation Algorithm via Connections with the k-means Problem.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,"Proceedings of SASB 2018, the 7th International Workshop on Static Analysis and Systems Biology, University of Edinburgh, September 7, 2016"
Preface.,"Ninth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2014, Brasília, Brazil, September 8-9, 2014"
On Caterpillars of Game Chromatic Number 4.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Towards a Directed Homotopy Type Theory.,"Proceedings of the Thirty-Fifth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2019, London, UK, June 4-7, 2019"
Towards Resolution-based Reasoning for Connected Logics.,"Proceedings of the 8th Workshop on Logical and Semantic Frameworks, LSFA 2013, São Paulo, Brazil, September 2-3, 2013"
Finding Optimal Timetables for Edinburgh Bus Routes.,"Proceedings of the Seventh International Workshop on the Practical Application of Stochastic Modelling, PASM 2014, Newcastle-upon-Tyne, UK, May 2014"
Transformation of a PID Controller for Numerical Accuracy.,"Seventh and Eighth International Workshops on Numerical Software Verification, NSV 2014, Vienna, Austria, July 17-18, 2014 & NSV 2015, Seattle, WA, USA, April 13, 2015"
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
PostHat and All That: Automating Abstract Interpretation.,"Fourth Workshop on Tools for Automatic Program Analysis, TAPAS@SAS 2013, Seattle, Washington, USA, June 19, 2013"
Semi-automated Tool Recommender for Software Development Processes.,"XXXIX Latin American Computer Conference - Selected Papers, CLEI 2013 Selected Papers, Vargas, Venezuela, October 7-11, 2018"
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,"XLIV Latin American Computer Conference - Selected Papers, CLEI 2018 Selected Papers, São Paulo, Brazil, October 1-5, 2018"
Understanding Communication Patterns in HPCG.,"Proceedings of the thirty third Annual UK Performance Engineering Workshops, UKPEW 2017, Newcastle upon Tyne, UK, December 2017"
A Formalisation of Nominal C-Matching through Unification with Protected Variables.,"Proceedings of the 13th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2018, Fortaleza, Brazil, September 26-28, 2018"
Enforcing Security and Safety with Proof-Carrying Code.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
On coalgebra of real numbers.,"Coalgebraic Methods in Computer Science, CMCS 1999, Amsterdam, The Netherlands, March 20-21, 1999"
AnaDroid: Malware Analysis of Android with User-supplied Predicates.,"Fourth Workshop on Tools for Automatic Program Analysis, TAPAS@SAS 2013, Seattle, Washington, USA, June 19, 2013"
The Decision Problem for a Three-sorted Fragment of Set Theory with Restricted Quantification and Finite Enumerations.,"Proceedings of the 16th Italian Conference on Theoretical Computer Science, ICTCS 2015, Firenze, Italy, September 9-11, 2015"
Preface.,"XLI Latin American Computer Conference - Selected Papers, CLEI 2015 Selected Papers, Arequipa, Peru, October 19-23, 2018"
Colouring the Normalized Laplacian.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Domain-complete and LCS-complete Spaces.,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Reachability Analysis via Orthogonal Sets of Patterns.,"Proceedings of SASB 2018, the 7th International Workshop on Static Analysis and Systems Biology, University of Edinburgh, September 7, 2016"
Preface.,"6th International Workshop on Expressiveness in Concurrency, EXPRESS 1999, Eindhoven, The Netherlands, August 23, 1999"
A Certifying Square Root and Division Elimination.,"Seventh and Eighth International Workshops on Numerical Software Verification, NSV 2014, Vienna, Austria, July 17-18, 2014 & NSV 2015, Seattle, WA, USA, April 13, 2015"
Abstract Domains for Type Juggling.,"Proceedings of the Sixth Workshop on Numerical and Symbolic Abstract Domains, NSAD@SAS 2016, Edinburgh, UK, September 11, 2016"
A Game Semantics of Concurrent Separation Logic.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
"Uniform provability realization of intuitionistic logic, modality and lambda-terms.","Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999"
Complete Axiomatization for the Total Variation Distance of Markov Chains.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017"
Formal Verification of Health Assessment Tools: a Case Study.,"Third Workshop-School on Theoretical Computer Science, WEIT 2015, Porto Alegre, Brazil, October 14-16, 2015"
Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Stateful Runners of Effectful Computations.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Preface.,"XLIII Latin American Computer Conference - Selected Papers, CLEI 2017 Selected Papers, Cordoba, Argentina, September 4-8, 2017"
Elements for a Formal Model of Intentional Systems.,"Third Workshop-School on Theoretical Computer Science, WEIT 2015, Porto Alegre, Brazil, October 14-16, 2015"
Dialogue Systems for Intelligent Human Computer Interactions.,"1st Workshop on Behavioral Change and Ambient Intelligence for Sustainability, BRAINS@AmI 2018, and 2nd Workshop on Affective Interaction with Avatars and Robots, WS-AFFIN@AmI 2018, Larnaca, Cyprus, 2018"
Bimonoidal Structure of Probability Monads.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Morphisms of Open Games.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
A Symbolic Decision Procedure for Symbolic Alternating Finite Automata.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Identifying Codes in the Complementary Prism of Cycles.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs.","Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
The Geodesic Classification Problem on Graphs.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
On the Efficiency of Convex Polyhedra.,"Seventh Workshop on Numericaland Symbolic Abstract Domains, NSAD@SAS 2017, New York City, NY, USA, August 29, 2017"
Representation of Partial Traces.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Coalgebraic Update Lenses.,"Proceedings of the 30th Conference on the Mathematical Foundations of Programming Semantics, MFPS 2014, Ithaca, NY, USA, June 12-15, 2014"
Translating Controlled Graph Grammars to Ordinary Graph Grammars.,"Third Workshop-School on Theoretical Computer Science, WEIT 2015, Porto Alegre, Brazil, October 14-16, 2015"
Approximating Bisimilarity for Markov Processes.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
Iterated Covariant Powerset is not a Monad.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
The Expressiveness of CSP With Priority.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017"
Proof Certificates for Equality Reasoning.,"Proceedings of the Tenth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2015, Natal, Brazil, August 31 - September 1, 2015"
On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,"6th International Workshop on Static Analysis and Systems Biology, SASB 2015, Saint-Malo, France, September 8, 2015"
Abstract Similarity Analysis.,"Proceedings of the Sixth Workshop on Numerical and Symbolic Abstract Domains, NSAD@SAS 2016, Edinburgh, UK, September 11, 2016"
