paper,main_author
Incorporation of heuristic knowledge in the optimal design of formulated products: Application to a cosmetic emulsion.,Alvaro Orjuela 0001
A new termination criterion for sampling for surrogate model generation using partial least squares regression.,Julian Straus
Heat exchanger networks retrofit with an extended superstructure model and a meta-heuristic solution approach.,Caliane Bastos Borba Costa
A robust reliability-based scheduling for the maintenance activities during planned shutdown under uncertainty of activity duration.,Hadi Moradi
Demonstration of non-linear model predictive control of post-combustion CO,Fredrik Gjertsen
An agent composition framework for the J-Park Simulator - A knowledge graph for the process industry.,Andreas Eibeck
A reduced-order multiscale model of a free-radical semibatch emulsion polymerization process.,Hugo Hernández
Batch-centric scheduling formulation for treelike pipeline systems with forbidden product sequences.,Hossein Mostafaei
Simulation of the Sour-Compression Unit (SCU) process for CO,Diane Thomas
Forty years of ,Bo Shuang
Dynamic simulation of the reverse osmosis process for seawater using LabVIEW and an analysis of the process performance.,Arun Joseph
Vapor recompressed batch distillation: Optimizing reflux ratio at variable mode.,Amiya K. Jana
Model-based analysis and quality-by-design framework for high aspect ratio crystals in crystallizer-wet mill systems using GPU acceleration enabled optimization.,Botond Szilágyi
Operational safety of chemical processes via Safeness-Index based MPC: Two large-scale case studies.,Carlos Garcia
SS-DAC: A systematic framework for selecting the best modeling approach and pre-processing for spectroscopic data.,Marco S. Reis
Global optimization algorithm for multi-period design and planning of centralized and distributed manufacturing networks.,Can Li
Improved method to converge pressure equalization steps when simulating a cyclic adsorption process.,Andrew S. Gibson
Continuous reactive crystallization of β-lactam antibiotics catalyzed by penicillin G acylase. Part I: Model development.,Andreas S. Bommarius
Model predictive automatic control of sucker rod pump system with simulation case study.,Brandon Tolbert
A benders-local branching algorithm for second-generation biodiesel supply chain network design under epistemic uncertainty.,Hamid Ghaderi
Composition/temperature cascade control for a Kaibel dividing-wall distillation column by combining PI controllers and model predictive control integrated with soft sensor.,Haisheng Chen
Proxy models for caprock pressure and temperature dynamics during steam-assisted gravity drainage process.,Ajay Ganesh
Multi-system shale gas supply chain planning with development and resource arrangements.,Abigail Ondeck
"Multi-timescale, multi-period decision-making model development by combining reinforcement learning and mathematical programming.",Jay H. Lee
"European supply chains for carbon capture, transport and sequestration, with uncertainties in geological storage capacity: Insights from economic optimisation.",Diana Iruretagoyena
Demand response-oriented dynamic modeling and operational optimization of membrane-based chlor-alkali plants.,Joannah I. Otashu
Efficient modeling of the nonlinear dynamics of tubular heterogeneous reactors.,Jesus Alvarez
Modeling of reactive batch distillation processes for control.,Alejandro Marquez-Ruiz
Good modeling practice for industrial chromatography: Mechanistic modeling of ion exchange chromatography of a bispecific antibody.,David Saleh
Modified inferential POD/ML for data-driven inverse procedure of steam reformer for 5-kW HT-PEMFC.,Bonchan Koo
An integral methodological approach for biorefineries design: Study case of Colombian coffee cut-stems.,Carlos Ariel Cardona Alzate
Optimal design of aging systems: A-frame coolers design under fouling.,José A. Luceño
Economic optimization in transient processes for model predictive control with a dynamic reference trajectory.,Dewei Li 0001
Pharmacokinetic/Pharmacodynamic modeling and simulation of the effect of medications on β-amyloid aggregates and cholinergic neurocycle.,Ali Elkamel
Beware of symmetry breaking and periodic flow regimes in axisymmetric CVD reactor setups.,Andreas G. Boudouvis
A hybrid time MILP model for the pump scheduling of multi-product pipelines based on the rigorous description of the pipeline hydraulic loss changes.,Chengcheng Xiang
Multi-operational planning of shale gas pad development.,Abigail Ondeck
Well control optimization using derivative-free algorithms and a multiscale approach.,Qihong Feng
An optimization based strategy for crude selection in a refinery with lube hydro-processing.,Jay H. Lee
Optimizing the inventorying and distribution of chemical fluids: An innovative nested column generation approach.,Carlos A. Méndez
An efficient MILP framework for integrating nonlinear process dynamics and control in optimal production scheduling calculations.,Michael Baldea
Large-scale DAE-constrained optimization applied to a modified spouted bed reactor for ethylene production from methane.,Daison M. Yancy-Caballero
A multi-objective optimization approach for selection of energy storage systems.,Lanyu Li
Application of formal verification and falsification to large-scale chemical plant automation systems.,B. Erik Ydstie
Integrating operations and control: A perspective and roadmap for future research.,Christos Georgakis 0002
A biologically-inspired approach for adaptive control of advanced energy systems.,Fernando V. Lima
On improving the online performance of production scheduling: Application to air separation units.,Ajit Gopalakrishnan
Maximal safe set computation for pressure swing adsorption processes.,Elena De Santis
Reprint of: Big data approach to batch process monitoring: Simultaneous fault detection and diagnosis using nonlinear support vector machine-based feature selection.,Chris A. Kieslich
Errata: Heat exchanger network cleaning scheduling: From optimal control to mixed-integer decision making.,D. Ian Wilson
Optimal operation of a Solar Membrane Distillation pilot plant via Nonlinear Model Predictive Control.,Alba Ruiz-Aguirre
Modelling and solving the integrated inventory-location-routing problem in a multi-period and multi-perishable product supply chain with uncertainty: Lagrangian relaxation algorithm.,Bahman Naderi
Simultaneous optimization and heat integration of the coal-to-SNG process with a branched heat recovery steam cycle.,Bo Huang
MILP models for objective reduction in multi-objective optimization: Error measurement considerations and non-redundancy ratio.,Daniel Vázquez
Efficient sampling algorithm for large-scale optimization under uncertainty problems.,Nishant Dige
Computational simulation of CO,Ghasem Rahpaima
Microalgae growth optimization in open ponds with uncertain weather data.,Fabrizio Bezzo
Global optimization of grey-box computational systems using surrogate functions and application to highly constrained oil-field operations.,Burcu Beykal
A meta-optimized hybrid global and local algorithm for well placement optimization.,Chen Liu
A novel MINLP model of front-end crude scheduling for refinery with consideration of inherent upset minimization.,Honglin Qu
Challenges and opportunities in biopharmaceutical manufacturing control.,Amos E. Lu
Development of a plant-wide Dimethyl Oxalate (DMO) synthesis process from syngas: Rigorous design and optimization.,Bor-Yih Yu
A POMDP framework for integrated scheduling of infrastructure maintenance and inspection.,Go Bong Choi
Integration of the biorefinery concept for the development of sustainable processes for pulp and paper industry.,Ghochapon Mongkhonsiri
On the effect of price policies in the design of formulated products.,Alberto Martínez
Economics optimizing control of a multi-product reactive distillation process under model uncertainty.,Alexandru Tatulea-Codrean
"Erratum to ""Modifier Adaptation methodology based on transient and static measurements for RTO to cope with structural uncertainty"" [Comput. Chem. Eng. 106 (2017) 480-500].",César de Prada Moraga
Active directional modifier adaptation for real-time optimization.,Alejandro G. Marchetti
Integrated scheduling and control in discrete-time with dynamic parameters and constraints.,Damon Petersen
Robust optimization for decision-making under endogenous uncertainty.,Chrysanthos E. Gounaris
Deviation propagation analysis along a cumene process by using dynamic simulations.,Berdouzi Fatine
Resilient design and operations of process systems: Nonlinear adaptive robust optimization model and algorithm for resilience analysis and enhancement.,Fengqi You
Global optimisation of multi-plant manganese alloy production.,Brage Rugstad Knudsen
Automated reaction generation for polymer networks.,Ivan Kryven
Advances in clean and low-carbon power generation planning.,Pei Liu 0002
Heat exchanger network synthesis using genetic algorithm and differential evolution.,Laureano Jiménez
