paper,co_author
Multiclass data classification using fault detection-based techniques.,M. Ziyan Sheriff
Multiclass data classification using fault detection-based techniques.,Mohamed N. Nounou
Multiclass data classification using fault detection-based techniques.,Nour Basha
An internal model control design method for failure-tolerant control with multiple objectives.,Joel A. Paulson
An internal model control design method for failure-tolerant control with multiple objectives.,Richard D. Braatz
Novel MINLP formulations for flexibility analysis for measured and unmeasured uncertain parameters.,Maria Paz Ochoa
Real-time optimization via modifier adaptation of closed-loop processes using transient measurements.,Jack Speakman
Integration of graphical approaches into optimization-based design of multistage liquid extraction.,Garry S. P. Taifan
Surrogate modeling for fast uncertainty quantification: Application to 2D population balance models.,Georgios Makrygiorgos
Surrogate modeling for fast uncertainty quantification: Application to 2D population balance models.,Giovanni Maria Maggioni
Optimal design and scheduling of a solar-assisted domestic desalination systems.,Faissal Abdelhady
Optimal design and scheduling of a solar-assisted domestic desalination systems.,Hassan Baaqeel
Optimal design and scheduling of a solar-assisted domestic desalination systems.,Mahmoud M. El-Halwagi
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,Fabrice Abunde Neba
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,Hoese Michel Tornyeviadzi
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,John Morken
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,Nana Y. Asiedu
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,Razak Seidu
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,Stein W. Østerhus
An accelerated dual method based on analytical extrapolation for distributed quadratic optimization of large-scale production complexes.,Sebastian Engell
Process supply chains: Perspectives from academia and industry.,José Mauricio Pinto
Multimode process monitoring based on fault dependent variable selection and moving window-negative log likelihood probability.,Donghua Zhou
Multimode process monitoring based on fault dependent variable selection and moving window-negative log likelihood probability.,Jingxin Zhang 0002
Multimode process monitoring based on fault dependent variable selection and moving window-negative log likelihood probability.,Maoyin Chen
Estimating technical efficiency of petroleum refineries using DEA and tobit model: An India perspective.,Narendra N. Dalei
Integrating deep learning models and multiparametric programming.,Iosif Pappas
Integrating deep learning models and multiparametric programming.,Justin Katz
Integrating deep learning models and multiparametric programming.,Styliani Avraamidou
Generic modeling framework of Multi-Energy Systems (MES) within the Upstream Oil Supply Chain (USOSC) network.,Ali Elkamel
Generic modeling framework of Multi-Energy Systems (MES) within the Upstream Oil Supply Chain (USOSC) network.,Mohamed Alkatheri
Generic modeling framework of Multi-Energy Systems (MES) within the Upstream Oil Supply Chain (USOSC) network.,Syed Taha Taqvi
A geometric observer design for a semi-batch free-radical polymerization system.,Roberto Baratti
A geometric observer design for a semi-batch free-radical polymerization system.,Santiago D. Salas
A geometric observer design for a semi-batch free-radical polymerization system.,Stefania Tronci
Integrated scheduling of vessel dispatching and port operations in the closed-loop shipping system for transporting petrochemicals.,Jay H. Lee
Integrated scheduling of vessel dispatching and port operations in the closed-loop shipping system for transporting petrochemicals.,Sangdo (Sam) Choi
A study of model adaptation in iterative real-time optimization of processes with uncertainties.,Sebastian Engell
A study of model adaptation in iterative real-time optimization of processes with uncertainties.,Weihua Gao
Crystallization of calcium carbonate and magnesium hydroxide in the heat exchangers of once-through Multistage Flash (MSF-OT) desalination process.,Salih Alsadaie
Optimized data exploration applied to the simulation of a chemical process.,Michal Walczak
Optimized data exploration applied to the simulation of a chemical process.,Norbert Asprion
Optimized data exploration applied to the simulation of a chemical process.,Raoul Heese
Optimized data exploration applied to the simulation of a chemical process.,Tobias Seidel
GPdoemd: A Python package for design of experiments for model discrimination.,Marc Peter Deisenroth
GPdoemd: A Python package for design of experiments for model discrimination.,Ruth Misener
GPdoemd: A Python package for design of experiments for model discrimination.,Sebastian Niedenführ
GPdoemd: A Python package for design of experiments for model discrimination.,Simon Olofsson
Software approach to simulation-based hazard identification of complex industrial processes.,Ján Janosovský
Software approach to simulation-based hazard identification of complex industrial processes.,Ludovít Jelemenský
Software approach to simulation-based hazard identification of complex industrial processes.,Matej Danko
Predictive models and detection methods applicable in water detection framework for industrial electric arc furnaces.,Behzad Moshiri
Predictive models and detection methods applicable in water detection framework for industrial electric arc furnaces.,Farzad Hourfar
Predictive models and detection methods applicable in water detection framework for industrial electric arc furnaces.,Hamzah Alshawarghi
Superstructure approach for the design of renewable-based utility plants.,Mariano Martín
Superstructure approach for the design of renewable-based utility plants.,Salvador I. Pérez-Uresti
Sustainable utilization and storage of carbon dioxide: Analysis and design of an innovative supply chain.,Grazia Leonzio
Sustainable utilization and storage of carbon dioxide: Analysis and design of an innovative supply chain.,Pier Ugo Foscolo
Artificial Neural Network control of thermoelectrically-cooled microfluidics using computer vision based on IR thermography.,Karina Popovich
Artificial Neural Network control of thermoelectrically-cooled microfluidics using computer vision based on IR thermography.,Ryan L. Hartman
An MINLP formulation for integrating the operational management of crude oil supply.,Eduardo Camponogara
An MINLP formulation for integrating the operational management of crude oil supply.,Ignacio E. Grossmann
An MINLP formulation for integrating the operational management of crude oil supply.,Leonardo Salsano de Assis
