paper,cites
Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,Tighter Relaxations for MAP-MRF Inference: A Local Primal-Dual Gap based Separation Algorithm.
Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,"Why networks aren't programmable (or, why programs aren't protocols)."
Segmental Recurrent Neural Networks.,Design of Architectures for Proximity-aware Services: Experiments in Context-based Authentication with Subjective Logic.
Segmental Recurrent Neural Networks.,Development of an optimal state transition graph for trajectory optimisation of dynamic systems by application of Dijkstra's algorithm.
Segmental Recurrent Neural Networks.,Syntactic Unification as a Geometric Operation in Free Modules over certain Rings.
Segmental Recurrent Neural Networks.,Model-Based Test Case Generation for Smart Cards.
Learning Factored Representations in a Deep Mixture of Experts.,A comparative study of multi-objective optimization methodologies for molecular and process design.
Learning Factored Representations in a Deep Mixture of Experts.,Partial Traces on Additive Categories.
Learning Factored Representations in a Deep Mixture of Experts.,TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents.
Learning Factored Representations in a Deep Mixture of Experts.,Particle Belief Propagation.
"Extended Addressing Machines for PCF, with Explicit Substitutions.",A Formal Approach to Service Specification and Matching based on Graph Transformation.
"Extended Addressing Machines for PCF, with Explicit Substitutions.",Benchmarking Scientific Image Forgery Detectors.
Text Normalization for Low-Resource Languages of Africa.,Tripos Theory in Retrospect.
Auxiliary Image Regularization for Deep CNNs with Noisy Labels.,Cyclic scheduling for an ethylene cracking furnace system using diversity learning teaching-learning-based optimization.
Efficient Visual Coding: From Retina To V2.,Lattices of Irreducibly-derived Closed Sets.
The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations.,Session-based Choreography with Exceptions.
The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations.,Runtime Verification of Timed LTL using Disjunctive Normalized Equation Systems.
Sentiment Classification in Swahili Language Using Multilingual BERT.,On the Maximum Betweenness Improvement Problem.
Can recursive neural tensor networks learn logical reasoning?,Modal Logic Characterization of Markovian Testing and Trace Equivalences.
Can recursive neural tensor networks learn logical reasoning?,Skalpel: A Type Error Slicer for Standard ML.
Can recursive neural tensor networks learn logical reasoning?,The Homotopy Branching Space of a Flow.
Can recursive neural tensor networks learn logical reasoning?,Subgame-perfect cooperation in an extensive game.
When crowds hold privileges: Bayesian unsupervised representation learning with oracle constraints.,Learning when to say no.
"Partial frames, their free frames and their congruence frames.",Microalgae growth optimization in open ponds with uncertain weather data.
"Partial frames, their free frames and their congruence frames.",Approximate Counting of Graphical Models Via MCMC.
"Partial frames, their free frames and their congruence frames.",Efficient Hypergraph Clustering.
Correlation-based construction of neighborhood and edge features.,Online Inference of Topics with Latent Dirichlet Allocation.
Correlation-based construction of neighborhood and edge features.,"An Ensemble of Three Classifiers for KDD Cup 2009: Expanded Linear Model, Heterogeneous Boosting, and Selective Naive Bayes."
A Test of Relative Similarity For Model Selection in Generative Models.,Preface - F-WAN: Foundations of Wide Area Network Computing.
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,The Sequent Calculus of Skew Monoidal Categories.
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Formal Verification of the IEEE 802.1D Spanning Tree Protocol Using Extended 
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Model Checking Biological Oscillators.
GPU Asynchronous Stochastic Gradient Descent to Speed Up Neural Network Training.,Shadow links.
Neural GPUs Learn Algorithms.,"Membership equational logic, calculus of inductive instructions, and rewrite logic."
Neural GPUs Learn Algorithms.,Applying Light-Weight Theorem Proving to Debugging and Verifying Pointer Programs.
Neural GPUs Learn Algorithms.,Practical Extraction of Evidence Terms From Common-knowledge Reasoning.
Actor-Mimic: Deep Multitask and Transfer Reinforcement Learning.,Covariance Operator Based Dimensionality Reduction with Extension to Semi-Supervised Settings.
Data Representation and Compression Using Linear-Programming Approximations.,A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.
Data Representation and Compression Using Linear-Programming Approximations.,Reciprocity and Its Neurological Correlates in Human-Agent Cooperation.
Data Representation and Compression Using Linear-Programming Approximations.,Large-Scale Parallel Computing on Grids.
Data Layout from a Type-Theoretic Perspective (extended version).,Temporal constraints for concurrent object synchronisation.
Data Layout from a Type-Theoretic Perspective (extended version).,A Framework for Managing Requirements of Software Product Lines.
Data Layout from a Type-Theoretic Perspective (extended version).,Convex envelopes of complexity controlling penalties: the case against premature envelopment.
Adversarial Manipulation of Deep Representations.,Algebraic Information Theory For Binary Channels.
Adversarial Manipulation of Deep Representations.,How Powerful Can Any Regression Learning Procedure Be?.
Adversarial Manipulation of Deep Representations.,On the Relative Complexity of Labelled Modal Tableaux.
Adversarial Manipulation of Deep Representations.,Methods for Proving Termination of Rewriting-based Programming Languages by Transformation.
Variational Gaussian Process.,Typed behavioural equivalences for processes in the presence of subtyping.
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,Local Realizability Toposes and a Modal Logic for Computability.
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,How Many Times do We Need an Assumption to Prove a Tautology in Minimal Logic? Examples on the Compression Power of Classical Reasoning.
Phoneme Recognition through Fine Tuning of Phonetic Representations: a Case Study on Luhya Language Varieties.,"Value Change, Value Conflict, and Policy Innovation: Understanding the Opposition to the Market-Based Economic Dispatch of Electricity Scheme in India Using the Multiple Streams Framework."
Design and Implementation of English To Yoruba Verb Phrase Machine Translation System.,Translations of Vocabularies in Systems of Communicating Agents.
Design and Implementation of English To Yoruba Verb Phrase Machine Translation System.,Online Learning: Beyond Regret.
Design and Implementation of English To Yoruba Verb Phrase Machine Translation System.,Abstract Interpretation Based Verification of Logic Programs.
Further studies on open well-filtered spaces.,A Dependent Type Theory with Abstractable Names.
Further studies on open well-filtered spaces.,An Approach to Facilitate Decision Making on Architecture Evolution Strategies.
Further studies on open well-filtered spaces.,Chemical process systems analysis using thermodynamic balance equations with entropy generation. Revaluation and extension.
Guarded Kleene Algebra with Tests: Automata Learning.,Mixed kernel canonical variate dissimilarity analysis for incipient fault monitoring in nonlinear dynamic processes.
A note on the category of c-spaces.,Structured Transition Systems as Lax Coalgebras.
An Amharic News Text classification Dataset.,Liquidity constraints and precautionary saving.
Call-By-Name Is Just Call-By-Value with Delimited Control.,Compositional Properties of Sequential Processes.
Call-By-Name Is Just Call-By-Value with Delimited Control.,Large Immersions in Graphs with Independence Number 3 and 4.
Call-By-Name Is Just Call-By-Value with Delimited Control.,An Analysis for Causal Properties of Membrane Interactions.
Weakening and Iterating Laws using String Diagrams.,Private vs. public communication: Difference of opinion and reputational concerns.
Weakening and Iterating Laws using String Diagrams.,Ranking by calibrated AdaBoost.
Weakening and Iterating Laws using String Diagrams.,A Holistic Resource Management for Graphics Processing Units in Cloud Computing.
The sheaf representation of residuated lattices.,Elucidating the multi-targeted anti-amyloid activity and enhanced islet amyloid polypeptide binding of β-wrapins.
The sheaf representation of residuated lattices.,Proving Component Interoperability with B Refinement.
Parsing as a lifting problem and the Chomsky-Schützenberger representation theorem.,Combining the advantages of discrete- and continuous-time scheduling models: Part 2. systematic methods for determining model parameters.
Parsing as a lifting problem and the Chomsky-Schützenberger representation theorem.,Surrogate modeling of phase equilibrium calculations using adaptive sampling.
Parsing as a lifting problem and the Chomsky-Schützenberger representation theorem.,Efficient planning of crude oil supplies through long-distance pipelines.
A Hofmann-Mislove theorem for ,Goodwill in communication.
A Hofmann-Mislove theorem for ,Elucidating the multi-targeted anti-amyloid activity and enhanced islet amyloid polypeptide binding of β-wrapins.
A Hofmann-Mislove theorem for ,A Boosting Algorithm for Label Covering in Multilabel Problems.
